id,title,year,author,genre,source_type,source_path,source_url,note
al_petr_kropotkin_a_letter_on_the_present_war,A Letter On The Present War,1914,Peter Kropotkin,letters,local_txt,A_Letter_On_The_Present_War.txt,https://theanarchistlibrary.org/library/petr-kropotkin-a-letter-on-the-present-war.muse,Anarchist Library download (local file)
al_petr_kropotkin_act_for_yourselves,Act For Yourselves,1887,Peter Kropotkin,essays,local_txt,Act_For_Yourselves.txt,https://theanarchistlibrary.org/library/petr-kropotkin-act-for-yourselves.muse,Anarchist Library download (local file)
al_emigration_advice,Advice to Those About to Emigrate,1893,Peter Kropotkin,essays,local_txt,EmigrationAdvice.txt,https://theanarchistlibrary.org/library/petr-kropotkin-advice-to-those-about-to-emigrate,Anarchist Library export (local file)
al_petr_kropotkin_an_appeal_to_the_young,An Appeal To The Young,1880,Peter Kropotkin,essays,local_txt,An_Appeal_To_The_Young.txt,https://theanarchistlibrary.org/library/petr-kropotkin-an-appeal-to-the-young.muse,Anarchist Library download (local file)
al_an_open_letter_of_peter_kropotkin_to_the_western_workingmen,An Open Letter Of Peter Kropotkin To The Western Workingmen,1917,Unknown,letters,local_txt,An_Open_Letter_Of_Peter_Kropotkin_To_The_Western_Workingmen.txt,https://theanarchistlibrary.org/library/an-open-letter-of-peter-kropotkin-to-the-western-workingmen.muse,Anarchist Library download (local file)
al_petr_kropotkin_anarchism_from_the_encyclopaedia_britannica,Anarchism From The Encyclopaedia Britannica,1910,Peter Kropotkin,unknown,local_txt,Anarchism_From_The_Encyclopaedia_Britannica.txt,https://theanarchistlibrary.org/library/petr-kropotkin-anarchism-from-the-encyclopaedia-britannica.muse,Anarchist Library download (local file)
al_petr_kropotkin_anarchism_its_philosophy_and_ideal,Anarchism Its Philosophy And Ideal,1898,Peter Kropotkin,unknown,local_txt,Anarchism_Its_Philosophy_And_Ideal.txt,https://theanarchistlibrary.org/library/petr-kropotkin-anarchism-its-philosophy-and-ideal.muse,Anarchist Library download (local file)
al_petr_kropotkin_anarchist_communism_its_basis_and_principles,Anarchist Communism Its Basis And Principles,1927,Peter Kropotkin,unknown,local_txt,Anarchist_Communism_Its_Basis_And_Principles.txt,https://theanarchistlibrary.org/library/petr-kropotkin-anarchist-communism-its-basis-and-principles.muse,Anarchist Library download (local file)
al_anarchist_morality,Anarchist Morality,1897,Peter Kropotkin,essays,local_txt,Anarchist_Morality.txt,https://theanarchistlibrary.org/library/petr-kropotkin-anarchist-morality,Anarchist Library export (local file)
al_petr_kropotkin_anarchists_and_unions,Anarchists And Unions,NA,Peter Kropotkin,unknown,local_txt,Anarchists_And_Unions.txt,https://theanarchistlibrary.org/library/petr-kropotkin-anarchists-and-unions.muse,Anarchist Library download (local file)
al_petr_kropotkin_anti_militarism_was_it_properly_understood,Anti Militarism Was It Properly Understood,1914,Peter Kropotkin,unknown,local_txt,Anti_Militarism_Was_It_Properly_Understood.txt,https://theanarchistlibrary.org/library/petr-kropotkin-anti-militarism-was-it-properly-understood.muse,Anarchist Library download (local file)
al_are_we_good_enough,Are We Good Enough?,1888,Peter Kropotkin,essays,local_txt,Are_We_Good_Enough.txt,https://theanarchistlibrary.org/library/petr-kropotkin-are-we-good-enough,Anarchist Library export (local file)
al_petr_kropotkin_brain_work_and_manual_work,Brain Work And Manual Work,1890,Peter Kropotkin,unknown,local_txt,Brain_Work_And_Manual_Work.txt,https://theanarchistlibrary.org/library/petr-kropotkin-brain-work-and-manual-work.muse,Anarchist Library download (local file)
al_petr_kropotkin_christmas_in_prison,Christmas In Prison,1899,Peter Kropotkin,unknown,local_txt,Christmas_In_Prison.txt,https://theanarchistlibrary.org/library/petr-kropotkin-christmas-in-prison.muse,Anarchist Library download (local file)
al_petr_kropotkin_communism_and_anarchy,Communism And Anarchy,1901,Peter Kropotkin,unknown,local_txt,Communism_And_Anarchy.txt,https://theanarchistlibrary.org/library/petr-kropotkin-communism-and-anarchy.muse,Anarchist Library download (local file)
al_petr_kropotkin_communism_and_the_wage_system,Communism And The Wage System,1888,Peter Kropotkin,unknown,local_txt,Communism_And_The_Wage_System.txt,https://theanarchistlibrary.org/library/petr-kropotkin-communism-and-the-wage-system.muse,Anarchist Library download (local file)
al_petr_kropotkin_constitutional_agitation_in_russia2,Constitutional Agitation In Russia2,1905,Peter Kropotkin,unknown,local_txt,Constitutional_Agitation_In_Russia2.txt,https://theanarchistlibrary.org/library/petr-kropotkin-constitutional-agitation-in-russia2.muse,Anarchist Library download (local file)
al_petr_kropotkin_emile_pouget_louise_michel_declaration_to_the_tribunal_of_lyons_by_the_accused_a,Emile Pouget Louise Michel Declaration To The Tribunal Of Lyons By The Accused A,1883,Peter Kropotkin,unknown,local_txt,Emile_Pouget_Louise_Michel_Declaration_To_The_Tribunal_Of_Lyons_By_The_Accused_A.txt,https://theanarchistlibrary.org/library/petr-kropotkin-emile-pouget-louise-michel-declaration-to-the-tribunal-of-lyons-by-the-accused-a.muse,Anarchist Library download (local file)
al_petr_kropotkin_ethics_origin_and_development,Ethics Origin And Development,1922,Peter Kropotkin,unknown,local_txt,Ethics_Origin_And_Development.txt,https://theanarchistlibrary.org/library/petr-kropotkin-ethics-origin-and-development.muse,Anarchist Library download (local file)
pg_64353,"Fields, Factories and Workshops",1899,Peter Kropotkin,science,local_txt,64353-0.txt,https://www.gutenberg.org/ebooks/64353,Project Gutenberg download (local file)
al_petr_kropotkin_finland_a_rising_nationality,Finland A Rising Nationality,1885,Peter Kropotkin,unknown,local_txt,Finland_A_Rising_Nationality.txt,https://theanarchistlibrary.org/library/petr-kropotkin-finland-a-rising-nationality.muse,Anarchist Library download (local file)
al_petr_kropotkin_great_french_revolution_and_its_lesson,Great French Revolution And Its Lesson,1889,Peter Kropotkin,unknown,local_txt,Great_French_Revolution_And_Its_Lesson.txt,https://theanarchistlibrary.org/library/petr-kropotkin-great-french-revolution-and-its-lesson.muse,Anarchist Library download (local file)
al_petr_kropotkin_ideals_and_realities_in_russian_literature,Ideals And Realities In Russian Literature,1915,Peter Kropotkin,unknown,local_txt,Ideals_And_Realities_In_Russian_Literature.txt,https://theanarchistlibrary.org/library/petr-kropotkin-ideals-and-realities-in-russian-literature.muse,Anarchist Library download (local file)
al_petr_kropotkin_in_memory_of_william_morris,In Memory Of William Morris,1896,Peter Kropotkin,unknown,local_txt,In_Memory_Of_William_Morris.txt,https://theanarchistlibrary.org/library/petr-kropotkin-in-memory-of-william-morris.muse,Anarchist Library download (local file)
al_petr_kropotkin_in_russian_and_french_prisons,In Russian And French Prisons,1887,Peter Kropotkin,unknown,local_txt,In_Russian_And_French_Prisons.txt,https://theanarchistlibrary.org/library/petr-kropotkin-in-russian-and-french-prisons.muse,Anarchist Library download (local file)
al_kropotkin_anarchists_and_trade_unions,Kropotkin Anarchists And Trade Unions,1907,Unknown,unknown,local_txt,Kropotkin_Anarchists_And_Trade_Unions.txt,https://theanarchistlibrary.org/library/kropotkin-anarchists-and-trade-unions.muse,Anarchist Library download (local file)
al_petr_kropotkin_kropotkin_s_definition_of_anarchism_for_the_encyclopedia_britannica,Kropotkin S Definition Of Anarchism For The Encyclopedia Britannica,NA,Peter Kropotkin,unknown,local_txt,Kropotkin_S_Definition_Of_Anarchism_For_The_Encyclopedia_Britannica.txt,https://theanarchistlibrary.org/library/petr-kropotkin-kropotkin-s-definition-of-anarchism-for-the-encyclopedia-britannica.muse,Anarchist Library download (local file)
al_letter_to_berkman,"Kropotkin to Alexander Berkman, November 20, 1908",1908,Peter Kropotkin,letters,local_txt,Letter_Berkman.txt,https://theanarchistlibrary.org/library/petr-kropotkin-letter-to-berkman,Anarchist Library export (local file)
ws_law_authority,Law and Authority,1886,Peter Kropotkin,essays,local_txt,Law_and_Authority.txt,https://en.wikisource.org/wiki/Law_and_Authority,Wikisource export (local file)
al_petr_kropotkin_letter_to_lenin,Letter To Lenin,1920,Peter Kropotkin,unknown,local_txt,Letter_To_Lenin.txt,https://theanarchistlibrary.org/library/petr-kropotkin-letter-to-lenin.muse,Anarchist Library download (local file)
al_petr_kropotkin_letter_to_lenin_4_march_1920,Letter To Lenin 4 March 1920,1920,Peter Kropotkin,unknown,local_txt,Letter_To_Lenin_4_March_1920.txt,https://theanarchistlibrary.org/library/petr-kropotkin-letter-to-lenin-4-march-1920.muse,Anarchist Library download (local file)
al_petr_kropotkin_letter_to_the_bakunin_centenary_celebration,Letter To The Bakunin Centenary Celebration,1914,Peter Kropotkin,unknown,local_txt,Letter_To_The_Bakunin_Centenary_Celebration.txt,https://theanarchistlibrary.org/library/petr-kropotkin-letter-to-the-bakunin-centenary-celebration.muse,Anarchist Library download (local file)
al_petr_kropotkin_maxim_gorky,Maxim Gorky,1904,Peter Kropotkin,unknown,local_txt,Maxim_Gorky.txt,https://theanarchistlibrary.org/library/petr-kropotkin-maxim-gorky.muse,Anarchist Library download (local file)
pg_73882,Memoirs of a Revolutionist,1906,Peter Kropotkin,memoir,local_txt,73882-0.txt,https://www.gutenberg.org/ebooks/73882,Project Gutenberg download (local file)
al_modern_science_and_anarchism,Modern Science and Anarchism,1903,Peter Kropotkin,science,local_txt,Modern_Science_and_Anarchism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-modern-science-and-anarchism,Anarchist Library export (local file)
al_petr_kropotkin_municipal_socialism,Municipal Socialism,1902,Peter Kropotkin,unknown,local_txt,Municipal_Socialism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-municipal-socialism.muse,Anarchist Library download (local file)
pg_4341,Mutual Aid: A Factor of Evolution,1902,Peter Kropotkin,science,local_txt,4341.txt,https://www.gutenberg.org/ebooks/4341,Project Gutenberg download (local file)
al_petr_kropotkin_on_order,On Order,NA,Peter Kropotkin,unknown,local_txt,On_Order.txt,https://theanarchistlibrary.org/library/petr-kropotkin-on-order.muse,Anarchist Library download (local file)
al_petr_kropotkin_on_the_teaching_of_physiography,On The Teaching Of Physiography,1893,Peter Kropotkin,unknown,local_txt,On_The_Teaching_Of_Physiography.txt,https://theanarchistlibrary.org/library/petr-kropotkin-on-the-teaching-of-physiography.muse,Anarchist Library download (local file)
al_petr_kropotkin_open_letter_to_western_european_workers,Open Letter To Western European Workers,1917,Peter Kropotkin,unknown,local_txt,Open_Letter_To_Western_European_Workers.txt,https://theanarchistlibrary.org/library/petr-kropotkin-open-letter-to-western-european-workers.muse,Anarchist Library download (local file)
al_petr_kropotkin_organised_vengeance_called_justice,Organised Vengeance Called Justice,NA,Peter Kropotkin,unknown,local_txt,Organised_Vengeance_Called_Justice.txt,https://theanarchistlibrary.org/library/petr-kropotkin-organised-vengeance-called-justice.muse,Anarchist Library download (local file)
al_petr_kropotkin_peter_kropotkin_s_last_letter,Peter Kropotkin S Last Letter,1921,Peter Kropotkin,unknown,local_txt,Peter_Kropotkin_S_Last_Letter.txt,https://theanarchistlibrary.org/library/petr-kropotkin-peter-kropotkin-s-last-letter.muse,Anarchist Library download (local file)
al_petr_kropotkin_politics_and_socialism,Politics And Socialism,1903,Peter Kropotkin,unknown,local_txt,Politics_And_Socialism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-politics-and-socialism.muse,Anarchist Library download (local file)
al_petr_kropotkin_practical_questions,Practical Questions,1887,Peter Kropotkin,unknown,local_txt,Practical_Questions.txt,https://theanarchistlibrary.org/library/petr-kropotkin-practical-questions.muse,Anarchist Library download (local file)
al_prisons_and_their_moral_influence_on_prisoners,Prisons And Their Moral Influence On Prisoners,1927,Unknown,unknown,local_txt,Prisons_And_Their_Moral_Influence_On_Prisoners.txt,https://theanarchistlibrary.org/library/prisons-and-their-moral-influence-on-prisoners.muse,Anarchist Library download (local file)
al_petr_kropotkin_prisons_universities_of_crime,Prisons Universities Of Crime,1913,Peter Kropotkin,unknown,local_txt,Prisons_Universities_Of_Crime.txt,https://theanarchistlibrary.org/library/petr-kropotkin-prisons-universities-of-crime.muse,Anarchist Library download (local file)
al_petr_kropotkin_process_under_socialism,Process Under Socialism,1887,Peter Kropotkin,unknown,local_txt,Process_Under_Socialism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-process-under-socialism.muse,Anarchist Library download (local file)
al_petr_kropotkin_proposed_communist_settlement_a_new_colony_for_tyneside_or_wearside,Proposed Communist Settlement A New Colony For Tyneside Or Wearside,1895,Peter Kropotkin,unknown,local_txt,Proposed_Communist_Settlement_A_New_Colony_For_Tyneside_Or_Wearside.txt,https://theanarchistlibrary.org/library/petr-kropotkin-proposed-communist-settlement-a-new-colony-for-tyneside-or-wearside.muse,Anarchist Library download (local file)
al_petr_kropotkin_revolutionary_government,Revolutionary Government,1892,Peter Kropotkin,unknown,local_txt,Revolutionary_Government.txt,https://theanarchistlibrary.org/library/petr-kropotkin-revolutionary-government.muse,Anarchist Library download (local file)
