id,title,year,author,genre,source_type,source_path,source_url,note
pg_4341,"Mutual Aid: A Factor of Evolution",1902,"Peter Kropotkin",science,local_txt,4341.txt,https://www.gutenberg.org/ebooks/4341,"Project Gutenberg download (local file)"
pg_23428,"The Conquest of Bread",1892,"Peter Kropotkin",theory,local_txt,23428-0.txt,https://www.gutenberg.org/ebooks/23428,"Project Gutenberg download (local file)"
pg_64353,"Fields, Factories and Workshops",1899,"Peter Kropotkin",science,local_txt,64353-0.txt,https://www.gutenberg.org/ebooks/64353,"Project Gutenberg download (local file)"
pg_73882,"Memoirs of a Revolutionist",1906,"Peter Kropotkin",memoir,local_txt,73882-0.txt,https://www.gutenberg.org/ebooks/73882,"Project Gutenberg download (local file)"
pg_31104,"The Place of Anarchism in Socialistic Evolution",1887,"Peter Kropotkin",essays,local_txt,31104.txt,https://www.gutenberg.org/ebooks/31104,"Project Gutenberg download (local file)"
ws_law_authority,"Law and Authority",1886,"Peter Kropotkin",essays,local_txt,Law_and_Authority.txt,https://en.wikisource.org/wiki/Law_and_Authority,"Wikisource export (local file)"
ws_state_historic_role,"The State: Its Historic Role",1903,"Peter Kropotkin",essays,local_txt,The_State_Its_Historic_Role.txt,https://en.wikisource.org/wiki/The_State:_Its_Historic_Role,"Wikisource export (local file)"
al_modern_science_and_anarchism,"Modern Science and Anarchism",1903,"Peter Kropotkin",science,local_txt,Modern_Science_and_Anarchism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-modern-science-and-anarchism,"Anarchist Library export (local file)"
al_anarchist_morality,"Anarchist Morality",1897,"Peter Kropotkin",essays,local_txt,Anarchist_Morality.txt,https://theanarchistlibrary.org/library/petr-kropotkin-anarchist-morality,"Anarchist Library export (local file)"
al_action_masses,"The Action of the Masses and the Individual",1890,"Peter Kropotkin",essays,local_txt,Action_of_Masses.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-action-of-the-masses-and-the-individual,"Anarchist Library export (local file)"
al_emigration_advice,"Advice to Those About to Emigrate",1893,"Peter Kropotkin",essays,local_txt,EmigrationAdvice.txt,https://theanarchistlibrary.org/library/petr-kropotkin-advice-to-those-about-to-emigrate,"Anarchist Library export (local file)"
al_are_we_good_enough,"Are We Good Enough?",1888,"Peter Kropotkin",essays,local_txt,Are_We_Good_Enough.txt,https://theanarchistlibrary.org/library/petr-kropotkin-are-we-good-enough,"Anarchist Library export (local file)"
al_effects_persecution,"The Effects of Persecution",1895,"Peter Kropotkin",essays,local_txt,Effects_Persecution.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-effects-of-persecution,"Anarchist Library export (local file)"
al_letter_to_berkman,"Kropotkin to Alexander Berkman, November 20, 1908",1908,"Peter Kropotkin",letters,local_txt,Letter_Berkman.txt,https://theanarchistlibrary.org/library/petr-kropotkin-letter-to-berkman,"Anarchist Library export (local file)"
