instruction,response,passage_sha256,stratum,source_file,chunk_index,example_type,tag,example_id
"Using only the passage, explain Kropotkin's view on why energetic people leaving their home countries to start colonies is problematic.","Kropotkin argues that when men and women of strong individuality and rebellious spirit leave to settle in distant lands, it weakens the revolutionary movement in their home countries. He believes there is enough work to be done in every land to modify current conditions, and that communist solidarity practiced in small groups within cities has a more powerful effect on society than if practiced in remote colonies on the boundaries of the civilized world.",5d2d3a4c8f826abdb4ac447df8411cc2b94f5779ac3772641226a236a03b649d,mutual_aid,kropotkin_corpus/essays/advice_to_those_about_to_emigrate/section_001_full_text.txt,2,grounded,NA,ex_1
"Based only on the passage, what are the two main causes Kropotkin identifies for the failure of communist colonies?","First, colonies are usually not numerous enough - while small families united by common bonds may succeed, larger groups of 2000 souls would succeed better than 200 because individual personalities more easily blend in larger groups, and they only need to agree on methods of common work rather than maintaining continuous full agreement. Second, most communist colonists end up in worse material conditions than before, working hard without the comforts of civilization, feeling less personal liberty in small communities, and lacking the higher stimuli and larger arena for struggle they had in their mother country.",5d2d3a4c8f826abdb4ac447df8411cc2b94f5779ac3772641226a236a03b649d,mutual_aid,kropotkin_corpus/essays/advice_to_those_about_to_emigrate/section_001_full_text.txt,2,grounded,NA,ex_2
"According to the passage only, what does Kropotkin suggest would be the best location for a Communist Colony and why?","Kropotkin suggests the best spot for a Communist Colony would be near London or near Paris, rather than in the wilderness. This is because colonists in remote areas face crushing difficulties for years, lack the trifles of civilization that people enjoy, and are deprived of the higher stimuli and larger arena for struggle available in their mother country.",5d2d3a4c8f826abdb4ac447df8411cc2b94f5779ac3772641226a236a03b649d,mutual_aid,kropotkin_corpus/essays/advice_to_those_about_to_emigrate/section_001_full_text.txt,2,grounded,NA,ex_3
"Based only on the passage, what situation prompted Kropotkin to write this study on morality?","An anarchist who ran a store in England found that his comrades in the movement took his goods without paying, believing ""To each according to his need"" justified letting those best able foot the bills. Kropotkin was appealed to, condemned such doctrine, and was moved to write this sermon for the comrades.",c615758da9d97749b857a59e0c32323baed4c69613535527468b1d134e287a60,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_001_note_for_anarchist_morality.txt,1,grounded,NA,ex_4
"According to the passage only, what does Kropotkin identify as the source of moral ideas and what does he say is the basis of the real moral sense?","Kropotkin sees the source of all so-called moral ideas in primitive superstitions. However, the real moral sense that guides social behavior is instinctive, based on sympathy and unity inherent in group life, with mutual aid being the condition of successful social living.",c615758da9d97749b857a59e0c32323baed4c69613535527468b1d134e287a60,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_001_note_for_anarchist_morality.txt,1,grounded,NA,ex_5
"Using only the passage, explain Kropotkin's view on punishment and what he considers greater social forces for controlling wrongdoing.",Kropotkin rejects punishment as useless and evil. He regards love and hate as greater social forces for controlling wrongdoing than punishment.,c615758da9d97749b857a59e0c32323baed4c69613535527468b1d134e287a60,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_001_note_for_anarchist_morality.txt,1,grounded,NA,ex_6
"Based only on the passage, what is the common origin of both virtuous and vicious actions according to the author?","According to the passage, both virtuous and vicious actions spring from a common source: they are all performed in answer to some need of the individual's nature, with the end being the quest of pleasure and the desire to avoid pain.",52b27e9fa1f2c7df833b8f58004f79c1ed3d09b483e4f3686f61cf82bc87e54d,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_004_iii.txt,1,grounded,NA,ex_7
"Using only the passage, explain why this explanation of human actions troubles those with religious principles.","The explanation troubles those with religious principles because it leaves no room for the supernatural and throws over the idea of an immortal soul. If humans only act in obedience to the needs of their nature, like a 'conscious automaton,' it undermines the concept of immortality, which serves as a last refuge for those who hope to find compensation in another world for earthly sufferings.",52b27e9fa1f2c7df833b8f58004f79c1ed3d09b483e4f3686f61cf82bc87e54d,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_004_iii.txt,1,grounded,NA,ex_8
"According to the passage only, what characterizes the people who reject this explanation of human behavior?","The passage describes those who reject this explanation as people who have grown up in prejudice, have little confidence in science (which has often deceived them), and are led by feeling rather than thought. They reject it because it takes from them their last hope.",52b27e9fa1f2c7df833b8f58004f79c1ed3d09b483e4f3686f61cf82bc87e54d,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_004_iii.txt,1,grounded,NA,ex_9
"Using only the passage, explain how the concept of solidarity or mutual aid is limited among ants and sparrows.","Among ants, sociable customs and rules of good behavior apply only to individuals within the same anthill, not extending to other anthills unless exceptional circumstances like common distress affect both. Similarly, sparrows in the Luxembourg Gardens in Paris will mutually aid one another but will fight to the death against a sparrow from another location like Monge Square that ventures into their territory.",513a942465feee5aeb06a50f9a7b4682f94ac2cd9c81faa38e0cf32a830318b3,mutual_aid,kropotkin_corpus/essays/anarchist_morality/section_005_iv.txt,2,grounded,NA,ex_10
