work_id,title,genre,unit_id,unit_title,out_path,body_words,body_chars
al_petr_kropotkin_small_communal_experiments_and_why_they_fail,Small Communal Experiments And Why They Fail,unknown,unit_008,"The federated communes of the future, and",kropotkin_corpus/unknown/small_communal_experiments_and_why_they_fail/section_008_the_federated_communes_of_the_future_and.txt,199,1353
al_petr_kropotkin_ideals_and_realities_in_russian_literature,Ideals And Realities In Russian Literature,unknown,unit_085,Ivan Panaeff,kropotkin_corpus/unknown/ideals_and_realities_in_russian_literature/section_085_ivan_panaeff.txt,211,1268
al_petr_kropotkin_ideals_and_realities_in_russian_literature,Ideals And Realities In Russian Literature,unknown,unit_076,Downtrodden and Offended,kropotkin_corpus/unknown/ideals_and_realities_in_russian_literature/section_076_downtrodden_and_offended.txt,213,1227
al_petr_kropotkin_ideals_and_realities_in_russian_literature,Ideals And Realities In Russian Literature,unknown,unit_100,Sumarókoff,kropotkin_corpus/unknown/ideals_and_realities_in_russian_literature/section_100_sumar_koff.txt,220,1358
pg_4341,Mutual Aid: A Factor of Evolution,science,unit_169,If I thus follow the views long since advocated by Maurer,kropotkin_corpus/science/mutual_aid_a_factor_of_evolution/chapter_169_if_i_thus_follow_the_views_long_since_advocated_by_maurer.txt,224,1415
al_petr_kropotkin_ideals_and_realities_in_russian_literature,Ideals And Realities In Russian Literature,unknown,unit_102,First Comedies,kropotkin_corpus/unknown/ideals_and_realities_in_russian_literature/section_102_first_comedies.txt,225,1347
al_petr_kropotkin_the_terror_in_russia,The Terror In Russia,unknown,unit_012,"At the Sevastpool prison, the political prisoner Gulbinsky hanged himself.",kropotkin_corpus/unknown/the_terror_in_russia/section_012_at_the_sevastpool_prison_the_political_prisoner_gulbinsky_hanged_himself.txt,226,1351
al_petr_kropotkin_ideals_and_realities_in_russian_literature,Ideals And Realities In Russian Literature,unknown,unit_118,Potyékhin,kropotkin_corpus/unknown/ideals_and_realities_in_russian_literature/section_118_poty_khin.txt,228,1332
al_petr_kropotkin_ideals_and_realities_in_russian_literature,Ideals And Realities In Russian Literature,unknown,unit_092,Maykoff,kropotkin_corpus/unknown/ideals_and_realities_in_russian_literature/section_092_maykoff.txt,229,1282
pg_4341,Mutual Aid: A Factor of Evolution,science,unit_313,Many rich people cannot understand how the very poor can help each,kropotkin_corpus/science/mutual_aid_a_factor_of_evolution/chapter_313_many_rich_people_cannot_understand_how_the_very_poor_can_help_each.txt,234,1312
